feature,label
((())()()()(())(())(()(()())(())(),))
(()(()()())()()()((,)))
((()())(()(()()())())()()()(,))
((()()()())()((()()(()()))())(,))
(()()()(())()()(()())(,))
((())((((()()))((()()()))(()))),)
(()()(()())()(())(),)
(()()(((,))))
(,)
(()()()()()()()(((()()()))((),)))
(()(((())()()())()()()()()(,)))
(((()))()()()(())()(,))
((()()(()()()))(()()((),)))
((()(()(()))((()(),))))
((()(())()()(,)))
,
(()(()(()))(()())(()()())()()(,))
(()()(()()(()),))
((())()(())()()()()((),))
(()(()())(((,))))
,
(((())())(())()()()((()()())()())((),))
((()()(())(()))()(,))
((()(()()(()))(()())(()))((()))(,))
(()(()()())()()(),)
((()()()()(()(),)))
((())(())()(()),)
(()()(())(()())(),)
((()())(())((,)))
((())((())()(()())(()())(,)))
(()()()()((),))
(()()()()()(())(()(()(()),)))
(((()))()(())()(((()))()()(,)))
(()()(()())(()()()(()()()())(),))
((())(()())((()())())(),)
,
(()()((()()(()(())))()()(,)))
((((())(()))())(((()()())()))(),)
,
(()(()(())())(),)
((((()())(()())(()()))()())(())(,))
(()(())(())()()()(()),)
((()())()((())(((()))),))
(,)
((),)
((())(())(()(),))
(()()(())()(())()()()(())()(,))
((()()())(())()((()))()()(),)
(()(()()()(),))
((())(((()())())())((())()),)
,
(()(()())(())(),)
,
((())()(,))
(((())(()))()(())(())()((()),))
(()()()((()()))(),)
((()((())()()()((,)))))
((()((())(()()))()())((()(())(,))))
((()((()))(())()()()(()())(),))
(((())()())(()()),)
(()(()()),)
(()()()(())(())()(())(),)
((()()((())()()())(()),))
(()()()()()()()()(())(()())()(,))
((())((()))()(()(),))
(((()((()))())())()(((()())((,)))))
,
(,)
(()(()(()())),)
(((),))
((()()()()(()())(()())()(()(()(),))))
(()()(())()()(()())((,)))
(()(()())()()()(()())()((),))
((()())(()()(),))
(()(()()(())())(())()(,))
(()()()((())())(()((())()))(),)
((()((()(())()))()()()()()),)
(()((())()()()(())())(),)
(()()()()()(),)
(()(()(()))(()(()(()(()))())())((),))
(()()()()(((()))()(),))
(()()(((())(()()())()()()),))
(()((())())(())()(())(())(,))
(()()(()(())(()))()()()()()(,))
(()()(())(()(())((()()))((),)))
(()(()())(),)
(((()()()())()((())))()(()((())),))
(()()()(()())((()()((,)))))
((()()()(()())(())(())()()(),))
(()()()()(((,))))
(()((()()(())()(()))()()()()()),)
((()())()()(()()()()(()()(())(),)))
(()(()()(()())((,))))
(((()())(),))
((()()()(()())()()()(()())),)
(()()()(())()()()()()((),))
(()()(())()()()()()((),))
(()(()()()()(())()()(())()),)
,
(()(())(()(()(,))))
((())(())()(())((()))(,))
(((())(())()(),))
((()(())()()()()()()(()(()),)))
(()((()))()(())(()(()(()))(,)))
,
((((()(),))))
(((()()),))
(()()(()(())())()(())(()())(())()(()),)
(()()(((()()(,)))))
(()()()()()(((())(()())(()))),)
(()(((,))))
(()()()((())()(()()()()()))(,))
((((()))(())()(())())(),)
(()((,)))
(()()((()))(),)
((()()((()())()(((,))))))
((((())(()))()()()()()(),))
(()(()()()())((()()())())(())(,))
(((()))()(()((,))))
(()(()(())(())()()(()()))(,))
((()()(,)))
(()(())()()((),))
